Date,Open,High,Low,Close,Volume,Adj Close
2013-03-28,34.80,35.20,33.70,34.60,3458800,6.659
2013-03-27,36.00,36.20,34.40,34.80,3788500,6.698
2013-03-26,36.20,36.40,34.90,36.30,3555000,6.986
2013-03-25,37.50,37.60,36.10,36.50,5499600,7.025
2013-03-22,37.30,37.70,36.80,37.30,5344100,7.179
2013-03-21,37.10,37.40,36.00,37.20,7986900,7.16
2013-03-20,35.40,37.10,34.30,36.90,13233500,7.102
2013-03-19,35.00,36.30,34.40,35.20,6602400,6.775
2013-03-18,34.50,36.50,33.30,35.60,10609400,6.852
2013-03-15,36.10,37.30,34.40,35.50,20177500,6.832
2013-03-14,34.10,38.80,33.60,35.00,26622300,6.736
2013-03-13,29.70,32.50,29.40,32.50,14744900,6.255
2013-03-12,29.20,29.70,28.00,29.30,4880300,5.639
2013-03-11,29.50,31.00,28.60,28.60,19512800,5.504
2013-03-08,27.60,28.30,25.90,26.80,6942700,5.158
2013-03-07,28.50,28.50,27.60,27.90,2241000,5.37
2013-03-06,28.60,28.60,28.10,28.20,2369500,5.427
2013-03-05,27.50,29.30,27.20,28.30,5936600,5.447
2013-03-04,27.60,27.80,26.80,27.40,2397800,5.273
2013-03-01,28.00,28.00,27.40,27.60,2886500,5.312
2013-02-28,27.40,28.00,27.20,27.90,4015700,5.37
2013-02-27,27.00,27.60,26.60,27.10,4314700,5.216
2013-02-26,25.80,27.80,25.20,27.00,10718100,5.196
2013-02-25,28.20,28.40,26.40,26.70,7985800,5.139
2013-02-22,27.50,28.70,27.40,28.20,9959100,5.427
2013-02-21,23.00,26.90,23.00,26.90,10279600,5.177
2013-02-20,24.00,24.40,23.00,24.20,5667600,4.658
2013-02-19,23.80,24.40,23.80,24.00,2957100,4.619
2013-02-18,24.60,24.70,23.30,23.90,4202800,4.60
2013-02-15,24.50,26.20,23.80,24.20,11851000,4.658
2013-02-14,19.70,23.90,19.60,23.90,12810000,4.60
2013-02-13,20.40,20.70,19.40,20.00,10899500,3.849
2013-02-12,22.80,22.90,20.70,20.90,10474100,4.022
2013-02-11,23.70,24.10,23.10,23.10,3042300,4.446
2013-02-08,24.00,24.20,23.40,24.00,3139100,4.619
2013-02-07,24.50,25.10,23.80,24.20,4660400,4.658
2013-02-06,23.50,25.30,22.20,24.10,11407500,4.638
2013-02-05,25.90,25.90,23.30,23.70,8930100,4.561
